id,name,zerodha_id,exchange
1,GLENMARK,1895937,NSE
2,INDUSINDBK,1346049,NSE
3,TECHM,3465729,NSE
4,KOTAKBANK,492033,NSE
5,RELIANCE,738561,NSE
6,HINDUNILVR,356865,NSE
7,HDFCBANK,341249,NSE
8,INFY,408065,NSE
9,ADANIPORTS,3861249,NSE
10,WIPRO,969473,NSE
11,ONGC,633601,NSE
12,HDFC,340481,NSE
13,TCS,2953217,NSE
14,RECLTD,3930881,NSE
15,NLCINDIA,2197761,NSE
16,PTC,2906881,NSE
17,GAIL,1207553,NSE
18,ITC,424961,NSE
19,SBIN,779521,NSE
20,SUNPHARMA,857857,NSE
21,POWERGRID,3834113,NSE
22,CIPLA,177665,NSE
23,ZEEL,975873,NSE
24,M&M,519937,NSE
25,IBULHSGFIN,7712001,NSE
26,VEDL,784129,NSE
27,AXISBANK,1510401,NSE
28,HINDALCO,348929,NSE
29,ICICIBANK,1270529,NSE
30,MUTHOOTFIN,6054401,NSE
31,MARUTI,2815745,NSE
32,BHARTIARTL,2714625,NSE
33,INFRATEL,7458561,NSE
34,PNBHOUSING,138284292,BSE
35,PFC,136399364,BSE
36,NIFTY 50,256265,INDICES
37,SENSEX,265,INDICES
38,HDFCBANK20AUGFUT,11506434,NFO-FUT
39,HDFCBANK20SEPFUT,15034626,NFO-FUT
40,RELINFRA,141569,NSE
41,BEL,128012548,BSE
42,DABUR,128024580,BSE
43,AUROPHARMA,134349828,BSE
44,JBCHEPHARM,441857,NSE
45,VMART,7496705,NSE
46,PVR,3365633,NSE
47,AARTIIND,1793,NSE
48,ESCORTS,245249,NSE
49,IOC,415745,NSE
50,ABFRL,7707649,NSE
51,HCLTECH,1850625,NSE
52,IGL,2883073,NSE
53,LUPIN,2672641,NSE
54,APOLLOHOSP,40193,NSE
55,TORNTPHARM,900609,NSE
56,NIFTY20AUGFUT,11348482,NFO-FUT
57,RELIANCE20AUGFUT,11577090,NFO-FUT
58,NIFTY20AUG10000CE,12044802,NFO-OPT
59,NIFTY20AUG10000PE,12046594,NFO-OPT
60,NIFTY20DEC10000CE,10768642,NFO-OPT
61,NIFTY20DEC10000PE,10769922,NFO-OPT
62,NIFTY20DEC8000CE,10720770,NFO-OPT
63,NIFTY20DEC8000PE,10721026,NFO-OPT
64,NIFTY20DEC9000CE,10751746,NFO-OPT
65,NIFTY20DEC9000PE,10752002,NFO-OPT
66,RELIANCE20SEPFUT,15054850,NFO-FUT
